outcome,window,n_adopters,n_controls,diff,p,ci_low,ci_high
Total firearm deaths,2y_pre_vs_2y_post,19,27,0.8052602437732572,0.0192123202923633,0.1411855711327676,1.4693349164137468
Total firearm deaths,3y_pre_vs_3y_post,14,27,0.5677824936377827,0.1920403554880947,-0.310796905713873,1.4463618929894384
Total firearm deaths,5y_pre_vs_5y_post,10,27,0.9263651210184524,0.2018928974177232,-0.5662313938674859,2.4189616359043904
Firearm homicide,2y_pre_vs_2y_post,16,25,-0.0753863490274572,0.8000544348591226,-0.6781585468408098,0.5273858487858953
Firearm homicide,3y_pre_vs_3y_post,10,24,0.222603015224529,0.5983876313166265,-0.6652742573036377,1.1104802877526958
Firearm homicide,5y_pre_vs_5y_post,6,25,0.4786609539744348,0.6340668462688582,-1.8862949193535985,2.843616827302468
Firearm suicide,2y_pre_vs_2y_post,19,26,0.8759920637057808,3.595203381739753e-05,0.5252436755506559,1.2267404518609055
Firearm suicide,3y_pre_vs_3y_post,14,26,0.4040098259789301,0.0353091547112551,0.0310327935358459,0.7769868584220143
Firearm suicide,5y_pre_vs_5y_post,10,26,0.7755689279770168,0.0006972417218795,0.3743862646807714,1.1767515912732622
