outcome,outcome_label,specification,control_count,controls,coef_post_permitless,se_post_permitless,p_post_permitless,nobs,r2
firearm_suicide_rate_per_100k,Firearm Suicide,baseline_controls,2,unemployment_rate;income_pc,1.2634148464146422,0.22730034700987745,2.7233711554571292e-08,1300.0,0.9402332840156916
firearm_suicide_rate_per_100k,Firearm Suicide,firearm_law_controls,9,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license,0.9942334969023513,0.18835798461802156,1.3029896898411e-07,1300.0,0.9443022651423912
firearm_suicide_rate_per_100k,Firearm Suicide,demographic_poverty_controls,15,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;share_age_18_34;share_age_35_64;share_age_65plus;share_black_nonhispanic;share_hispanic;poverty_rate,0.6484720721617216,0.1400919707054475,3.676088019827677e-06,1000.0,0.9568368903700271
firearm_suicide_rate_per_100k,Firearm Suicide,mental_health_access_controls,10,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;mental_health_provider_rate_per_100k,0.15875382630624024,0.32512630755086025,0.6253490145706209,150.0,0.980583277830963
firearm_suicide_rate_per_100k,Firearm Suicide,full_phase3b2_controls,16,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;share_age_18_34;share_age_35_64;share_age_65plus;share_black_nonhispanic;share_hispanic;poverty_rate;mental_health_provider_rate_per_100k,0.19724540515679578,0.3266406535468351,0.5459363579727039,150.0,0.9807376226652628
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,baseline_controls,2,unemployment_rate;income_pc,0.3122850219348391,0.1457934963637823,0.0321960471541197,1300.0,0.8588096036174512
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,firearm_law_controls,9,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license,0.22906208670994435,0.14058529055158192,0.10323978448378401,1300.0,0.8611807858124858
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,demographic_poverty_controls,15,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;share_age_18_34;share_age_35_64;share_age_65plus;share_black_nonhispanic;share_hispanic;poverty_rate,0.0625205091701806,0.15095344153413198,0.6787490175434923,1000.0,0.8552206562979177
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,mental_health_access_controls,10,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;mental_health_provider_rate_per_100k,0.14545901433238706,0.24165010280128896,0.547213659829126,150.0,0.9400417677983558
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,full_phase3b2_controls,16,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;share_age_18_34;share_age_35_64;share_age_65plus;share_black_nonhispanic;share_hispanic;poverty_rate;mental_health_provider_rate_per_100k,0.10850349588798025,0.24882394451813902,0.6627893295359408,150.0,0.9410516682375576
total_suicide_rate_per_100k,Total Suicide,baseline_controls,2,unemployment_rate;income_pc,1.5756998683494803,0.3162152301825018,6.260658899276136e-07,1300.0,0.9328286711524673
total_suicide_rate_per_100k,Total Suicide,firearm_law_controls,9,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license,1.2232955836122947,0.28963465891715756,2.4045037528272232e-05,1300.0,0.9359901114036051
total_suicide_rate_per_100k,Total Suicide,demographic_poverty_controls,15,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;share_age_18_34;share_age_35_64;share_age_65plus;share_black_nonhispanic;share_hispanic;poverty_rate,0.7109925813319018,0.24641825885439098,0.003910308577107428,1000.0,0.9481366629039455
total_suicide_rate_per_100k,Total Suicide,mental_health_access_controls,10,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;mental_health_provider_rate_per_100k,0.30421284063862775,0.4535500496771102,0.5023880301143331,150.0,0.9779887999534089
total_suicide_rate_per_100k,Total Suicide,full_phase3b2_controls,16,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;share_age_18_34;share_age_35_64;share_age_65plus;share_black_nonhispanic;share_hispanic;poverty_rate;mental_health_provider_rate_per_100k,0.3057489010447769,0.46249562357129603,0.5085578295901291,150.0,0.9781063545171655
firearm_homicide_rate_per_100k,Firearm Homicide,baseline_controls,2,unemployment_rate;income_pc,-0.07164825203485262,0.36774049025201644,0.8455231141661929,1199.0,0.8886669993232406
firearm_homicide_rate_per_100k,Firearm Homicide,firearm_law_controls,9,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license,-0.13828063852268446,0.3686004557564232,0.7075485550577836,1199.0,0.8897872505788805
firearm_homicide_rate_per_100k,Firearm Homicide,demographic_poverty_controls,15,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;share_age_18_34;share_age_35_64;share_age_65plus;share_black_nonhispanic;share_hispanic;poverty_rate,-0.2292533715225598,0.25430323315820336,0.36732460938789224,935.0,0.9082888665730535
firearm_homicide_rate_per_100k,Firearm Homicide,mental_health_access_controls,10,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;mental_health_provider_rate_per_100k,-0.13013577677936938,0.27793908879269075,0.6396294923476131,148.0,0.9841150320733123
firearm_homicide_rate_per_100k,Firearm Homicide,full_phase3b2_controls,16,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;share_age_18_34;share_age_35_64;share_age_65plus;share_black_nonhispanic;share_hispanic;poverty_rate;mental_health_provider_rate_per_100k,-0.05193785235919135,0.3486860558847458,0.8815906783345407,148.0,0.9849598424984826
total_firearm_rate_per_100k,Total Firearm Deaths,baseline_controls,2,unemployment_rate;income_pc,1.341037519067065,0.4708044996942284,0.004394025156552565,1300.0,0.9332492520900901
total_firearm_rate_per_100k,Total Firearm Deaths,firearm_law_controls,9,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license,0.9559096149499977,0.422327473213266,0.023609057766857018,1300.0,0.9368853948673075
total_firearm_rate_per_100k,Total Firearm Deaths,demographic_poverty_controls,15,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;share_age_18_34;share_age_35_64;share_age_65plus;share_black_nonhispanic;share_hispanic;poverty_rate,0.4694193235712566,0.30740702050380014,0.12675389052056776,1000.0,0.9489583347604065
total_firearm_rate_per_100k,Total Firearm Deaths,mental_health_access_controls,10,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;mental_health_provider_rate_per_100k,0.09387132992251601,0.3705288670114333,0.800002262953435,150.0,0.9850931217338676
total_firearm_rate_per_100k,Total Firearm Deaths,full_phase3b2_controls,16,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;share_age_18_34;share_age_35_64;share_age_65plus;share_black_nonhispanic;share_hispanic;poverty_rate;mental_health_provider_rate_per_100k,0.23966241609793748,0.4275068208840201,0.575066914347113,150.0,0.9859767882798021
