outcome,outcome_label,mechanism_dimension,interaction_term,main_post_coef,interaction_coef,interaction_se,interaction_p,nobs,n_mechanism_states,n_other_states,sparse_comparison,comparison_warning,interpretation_scope
firearm_suicide_rate_per_100k,Firearm Suicide,training_removed,post_training_removed,1.1715140089941074,0.22010827180364334,0.31230665155769916,0.4809455824935897,1274.0,21,5,False,adequate_source_verified_comparison_group,exploratory_policy_feature_heterogeneity
firearm_suicide_rate_per_100k,Firearm Suicide,permit_background_check_removed,post_permit_background_check_removed,,,,,,26,0,True,no_source_verified_comparison_group,exploratory_sparse_comparison_do_not_interpret_as_mechanism
firearm_suicide_rate_per_100k,Firearm Suicide,misdemeanor_screen_removed,post_misdemeanor_screen_removed,1.3964418010740174,-0.0869715730702017,0.37641459036731234,0.8172739317050808,1274.0,12,14,False,adequate_source_verified_comparison_group,exploratory_policy_feature_heterogeneity
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,training_removed,post_training_removed,0.4541001121753907,-0.09967129401347166,0.30620903558555806,0.7448020575701644,1274.0,21,5,False,adequate_source_verified_comparison_group,exploratory_policy_feature_heterogeneity
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,permit_background_check_removed,post_permit_background_check_removed,,,,,,26,0,True,no_source_verified_comparison_group,exploratory_sparse_comparison_do_not_interpret_as_mechanism
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,misdemeanor_screen_removed,post_misdemeanor_screen_removed,0.24141084850231737,0.27864938435066683,0.1999425147957007,0.16342407949203197,1274.0,12,14,False,adequate_source_verified_comparison_group,exploratory_policy_feature_heterogeneity
total_suicide_rate_per_100k,Total Suicide,training_removed,post_training_removed,1.6256141211694968,0.12043697779017237,0.46509095441879933,0.7956710400597822,1274.0,21,5,False,adequate_source_verified_comparison_group,exploratory_policy_feature_heterogeneity
total_suicide_rate_per_100k,Total Suicide,permit_background_check_removed,post_permit_background_check_removed,,,,,,26,0,True,no_source_verified_comparison_group,exploratory_sparse_comparison_do_not_interpret_as_mechanism
total_suicide_rate_per_100k,Total Suicide,misdemeanor_screen_removed,post_misdemeanor_screen_removed,1.6378526495763346,0.1916778112804658,0.4835206321233623,0.6917943564493604,1274.0,12,14,False,adequate_source_verified_comparison_group,exploratory_policy_feature_heterogeneity
firearm_homicide_rate_per_100k,Firearm Homicide,training_removed,post_training_removed,0.3532690531568129,-0.7058113971901104,0.3937245911368853,0.07302849613689874,1173.0,21,5,False,adequate_source_verified_comparison_group,exploratory_policy_feature_heterogeneity
firearm_homicide_rate_per_100k,Firearm Homicide,permit_background_check_removed,post_permit_background_check_removed,,,,,,26,0,True,no_source_verified_comparison_group,exploratory_sparse_comparison_do_not_interpret_as_mechanism
firearm_homicide_rate_per_100k,Firearm Homicide,misdemeanor_screen_removed,post_misdemeanor_screen_removed,-0.5987906379540198,0.6700458226050702,0.49388345192766214,0.17488032193861908,1173.0,12,14,False,adequate_source_verified_comparison_group,exploratory_policy_feature_heterogeneity
total_firearm_rate_per_100k,Total Firearm Deaths,training_removed,post_training_removed,1.5316252442675424,-0.34995030303063923,0.5271584570532653,0.5067909815273266,1274.0,21,5,False,adequate_source_verified_comparison_group,exploratory_policy_feature_heterogeneity
total_firearm_rate_per_100k,Total Firearm Deaths,permit_background_check_removed,post_permit_background_check_removed,,,,,,26,0,True,no_source_verified_comparison_group,exploratory_sparse_comparison_do_not_interpret_as_mechanism
total_firearm_rate_per_100k,Total Firearm Deaths,misdemeanor_screen_removed,post_misdemeanor_screen_removed,1.0154368324235659,0.4806010305054938,0.7014584608794308,0.4932521804894116,1274.0,12,14,False,adequate_source_verified_comparison_group,exploratory_policy_feature_heterogeneity
