State,group,EffectiveYear,A
Alaska,Adopter,2003.0,-0.29716848437031373
Arizona,Adopter,2010.0,1.10424763035798
Idaho,Adopter,2016.0,1.4695917777180831
Kansas,Adopter,2015.0,0.9672875919304555
Kentucky,Adopter,2019.0,0.6638312440756877
Maine,Adopter,2015.0,1.0789330668232004
Mississippi,Adopter,2015.0,0.5687016362383481
Missouri,Adopter,2017.0,1.3601734557890701
New Hampshire,Adopter,2017.0,0.9166932607477882
North Dakota,Adopter,2017.0,-0.37829643671658175
Oklahoma,Adopter,2019.0,1.5356913947790662
South Dakota,Adopter,2019.0,0.706466905726872
West Virginia,Adopter,2016.0,1.4506161526936125
Wyoming,Adopter,2011.0,0.3391754401336655
Arkansas,Control,,0.6147018572067803
California,Control,,-0.02996226209545107
Colorado,Control,,1.024624397425775
Connecticut,Control,,0.16214992357446562
Delaware,Control,,0.026625306983734998
Hawaii,Control,,-0.01691152097135773
Illinois,Control,,0.3978001619953138
Louisiana,Control,,0.3297287821272258
Maryland,Control,,0.06352040273734431
Massachusetts,Control,,0.12265086029216808
Michigan,Control,,0.6525458159266437
Minnesota,Control,,0.4808386843663673
Nebraska,Control,,0.8026848841957239
Nevada,Control,,0.7311100080340402
New Jersey,Control,,0.023311049793970647
New Mexico,Control,,1.3803534027170261
New York,Control,,0.0029522183373804634
North Carolina,Control,,0.3817265738416476
Oregon,Control,,0.6307644592874999
Pennsylvania,Control,,0.423389699803625
Rhode Island,Control,,-0.11909378293711649
South Carolina,Control,,0.5816478312636401
Vermont,Control,,0.7749765764779032
Virginia,Control,,0.3970754484858677
Washington,Control,,0.4855375923290343
Wisconsin,Control,,0.5020361914985866
